date,avg_temp_c,max_temp_c,min_temp_c,total_precip_mm,avg_windspeed,avg_humidity,city,weather_label,pipeline_run_at
2026-04-11,27.25,30.8,24.2,0.0,13.95,65.4,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-12,28.45,35.6,22.8,0.0,8.88,58.2,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-13,28.04,31.6,24.1,0.0,19.08,65.7,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-14,27.68,31.1,25.2,0.0,21.09,63.8,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-15,26.66,30.0,24.2,0.0,14.76,75.9,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-16,25.87,28.4,24.0,0.0,12.52,76.9,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-17,26.04,29.1,23.7,0.0,14.83,73.3,Karachi,Mild,2026-04-11T05:16:14.965211
2026-04-11,10.57,13.5,7.8,0.2,19.0,54.2,London,Mild,2026-04-11T05:16:14.965211
2026-04-12,9.89,13.8,7.5,0.7,14.04,64.3,London,Mild,2026-04-11T05:16:14.965211
2026-04-13,9.48,12.4,5.7,2.4,8.03,71.1,London,Mild,2026-04-11T05:16:14.965211
2026-04-14,12.17,16.5,7.1,0.0,11.35,64.0,London,Mild,2026-04-11T05:16:14.965211
2026-04-15,13.96,16.1,12.0,0.0,15.25,72.9,London,Mild,2026-04-11T05:16:14.965211
2026-04-16,13.56,16.6,9.9,0.0,11.81,60.0,London,Mild,2026-04-11T05:16:14.965211
2026-04-17,13.29,16.0,10.7,0.0,11.12,64.8,London,Mild,2026-04-11T05:16:14.965211
2026-04-11,12.26,16.9,8.6,0.0,16.18,55.0,New York,Mild,2026-04-11T05:16:14.965211
2026-04-12,7.94,12.3,1.9,0.0,12.14,49.3,New York,Mild,2026-04-11T05:16:14.965211
2026-04-13,13.86,21.4,8.7,0.7,20.08,63.8,New York,Mild,2026-04-11T05:16:14.965211
2026-04-14,18.15,22.3,14.6,0.0,10.68,74.3,New York,Mild,2026-04-11T05:16:14.965211
2026-04-15,22.05,27.6,17.3,0.0,17.16,58.1,New York,Mild,2026-04-11T05:16:14.965211
2026-04-16,21.61,24.8,18.0,0.0,15.67,52.3,New York,Mild,2026-04-11T05:16:14.965211
2026-04-17,16.47,22.0,13.0,0.0,10.54,65.1,New York,Mild,2026-04-11T05:16:14.965211
2026-04-11,18.04,24.9,10.9,0.0,4.77,53.4,Tokyo,Mild,2026-04-11T05:16:14.965211
2026-04-12,14.3,20.9,8.5,0.0,4.58,60.5,Tokyo,Mild,2026-04-11T05:16:14.965211
2026-04-13,15.31,21.1,11.5,0.0,4.35,79.3,Tokyo,Mild,2026-04-11T05:16:14.965211
2026-04-14,17.68,21.9,15.2,0.0,6.29,71.1,Tokyo,Mild,2026-04-11T05:16:14.965211
2026-04-15,15.36,17.3,14.0,5.4,7.26,81.3,Tokyo,Rainy,2026-04-11T05:16:14.965211
2026-04-16,14.05,22.3,9.2,0.0,13.75,56.4,Tokyo,Mild,2026-04-11T05:16:14.965211
2026-04-17,11.9,15.7,9.7,0.0,5.36,62.5,Tokyo,Mild,2026-04-11T05:16:14.965211
